Tydzień,Ethereum: (Polska)
2017-03-19,3
2017-03-26,4
2017-04-02,2
2017-04-09,3
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,4
2017-05-14,6
2017-05-21,13
2017-05-28,10
2017-06-04,16
2017-06-11,24
2017-06-18,22
2017-06-25,26
2017-07-02,18
2017-07-09,20
2017-07-16,19
2017-07-23,13
2017-07-30,12
2017-08-06,13
2017-08-13,12
2017-08-20,12
2017-08-27,13
2017-09-03,12
2017-09-10,12
2017-09-17,10
2017-09-24,7
2017-10-01,7
2017-10-08,7
2017-10-15,9
2017-10-22,7
2017-10-29,8
2017-11-05,9
2017-11-12,8
2017-11-19,11
2017-11-26,13
2017-12-03,17
2017-12-10,20
2017-12-17,23
2017-12-24,16
2017-12-31,21
2018-01-07,28
2018-01-14,26
2018-01-21,15
2018-01-28,16
2018-02-04,13
2018-02-11,11
2018-02-18,12
2018-02-25,9
2018-03-04,11
2018-03-11,7
2018-03-18,8
2018-03-25,9
2018-04-01,9
2018-04-08,9
2018-04-15,6
2018-04-22,8
2018-04-29,8
2018-05-06,7
2018-05-13,7
2018-05-20,7
2018-05-27,6
2018-06-03,6
2018-06-10,6
2018-06-17,4
2018-06-24,6
2018-07-01,6
2018-07-08,5
2018-07-15,5
2018-07-22,6
2018-07-29,3
2018-08-05,5
2018-08-12,7
2018-08-19,6
2018-08-26,4
2018-09-02,6
2018-09-09,7
2018-09-16,4
2018-09-23,4
2018-09-30,4
2018-10-07,4
2018-10-14,4
2018-10-21,4
2018-10-28,3
2018-11-04,4
2018-11-11,4
2018-11-18,5
2018-11-25,3
2018-12-02,4
2018-12-09,4
2018-12-16,4
2018-12-23,4
2018-12-30,6
2019-01-06,6
2019-01-13,5
2019-01-20,5
2019-01-27,3
2019-02-03,4
2019-02-10,3
2019-02-17,5
2019-02-24,4
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,2
2019-03-31,8
2019-04-07,3
2019-04-14,4
2019-04-21,2
2019-04-28,4
2019-05-05,4
2019-05-12,6
2019-05-19,4
2019-05-26,5
2019-06-02,4
2019-06-09,3
2019-06-16,4
2019-06-23,6
2019-06-30,6
2019-07-07,4
2019-07-14,4
2019-07-21,4
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,5
2019-08-25,3
2019-09-01,4
2019-09-08,3
2019-09-15,5
2019-09-22,5
2019-09-29,4
2019-10-06,3
2019-10-13,3
2019-10-20,4
2019-10-27,4
2019-11-03,4
2019-11-10,3
2019-11-17,4
2019-11-24,4
2019-12-01,3
2019-12-08,3
2019-12-15,4
2019-12-22,4
2019-12-29,5
2020-01-05,4
2020-01-12,5
2020-01-19,5
2020-01-26,4
2020-02-02,6
2020-02-09,8
2020-02-16,8
2020-02-23,5
2020-03-01,5
2020-03-08,6
2020-03-15,7
2020-03-22,6
2020-03-29,4
2020-04-05,6
2020-04-12,6
2020-04-19,6
2020-04-26,10
2020-05-03,7
2020-05-10,5
2020-05-17,6
2020-05-24,5
2020-05-31,6
2020-06-07,5
2020-06-14,5
2020-06-21,4
2020-06-28,5
2020-07-05,4
2020-07-12,5
2020-07-19,7
2020-07-26,11
2020-08-02,11
2020-08-09,11
2020-08-16,9
2020-08-23,6
2020-08-30,11
2020-09-06,8
2020-09-13,7
2020-09-20,7
2020-09-27,6
2020-10-04,6
2020-10-11,6
2020-10-18,6
2020-10-25,6
2020-11-01,9
2020-11-08,8
2020-11-15,10
2020-11-22,13
2020-11-29,10
2020-12-06,8
2020-12-13,12
2020-12-20,15
2020-12-27,24
2021-01-03,60
2021-01-10,52
2021-01-17,47
2021-01-24,43
2021-01-31,58
2021-02-07,61
2021-02-14,62
2021-02-21,68
2021-02-28,44
2021-03-07,43
2021-03-14,36
2021-03-21,34
2021-03-28,48
2021-04-04,42
2021-04-11,51
2021-04-18,49
2021-04-25,51
2021-05-02,86
2021-05-09,99
2021-05-16,100
2021-05-23,71
2021-05-30,53
2021-06-06,37
2021-06-13,37
2021-06-20,36
2021-06-27,36
2021-07-04,32
2021-07-11,30
2021-07-18,30
2021-07-25,38
2021-08-01,55
2021-08-08,52
2021-08-15,40
2021-08-22,39
2021-08-29,45
2021-09-05,47
2021-09-12,36
2021-09-19,39
2021-09-26,34
2021-10-03,39
2021-10-10,41
2021-10-17,47
2021-10-24,48
2021-10-31,47
2021-11-07,52
2021-11-14,49
2021-11-21,42
2021-11-28,45
2021-12-05,49
2021-12-12,45
2021-12-19,40
2021-12-26,44
2022-01-02,51
2022-01-09,54
2022-01-16,51
2022-01-23,61
2022-01-30,45
2022-02-06,46
2022-02-13,42
2022-02-20,50
2022-02-27,47
2022-03-06,40
